Departure_Time,duree_moyenne_sec,proportion_velos_electriques,nombre_trajets
2024-05-01 00:00:00,1066.1627659574467,0.5882978723404255,4700
2024-05-01 01:00:00,1190.689723320158,0.5702992659514399,3542
2024-05-01 02:00:00,1186.4094689699295,0.5435060780550224,3126
2024-05-01 03:00:00,1172.8896739130435,0.5625,1840
2024-05-01 04:00:00,1112.989263803681,0.5651840490797546,1304
2024-05-01 05:00:00,1232.5741482965932,0.6052104208416834,998
2024-05-01 06:00:00,963.8287841191067,0.6451612903225806,806
2024-05-01 07:00:00,930.1273957158962,0.6358511837655016,887
2024-05-01 08:00:00,984.9423503325943,0.5986696230598669,1804
2024-05-01 09:00:00,1071.8680534918276,0.5783060921248143,3365
2024-05-01 10:00:00,1187.270308983016,0.5307959893595253,4887
2024-05-01 11:00:00,1301.4434667109415,0.5391001162211523,6023
2024-05-01 12:00:00,1261.3087651951375,0.5416506717850288,7815
2024-05-01 13:00:00,1255.741622930965,0.5689678374377607,7431
2024-05-01 14:00:00,1397.7930153321977,0.5750790946702361,8218
2024-05-01 15:00:00,1398.6674018526687,0.5647331274812527,9068
2024-05-01 16:00:00,1355.7402164862615,0.5596378018318068,9608
2024-05-01 17:00:00,1307.6961829102886,0.5553187366789382,10322
2024-05-01 18:00:00,1245.9416513761469,0.564954128440367,10900
2024-05-01 19:00:00,1134.0104253159886,0.584371251960513,10839
2024-05-01 20:00:00,1048.9302672202705,0.6175875652081337,9393
2024-05-01 21:00:00,1005.4401032067822,0.6549944710652414,2713
2024-05-01 22:00:00,987.3876651982379,0.6666666666666666,1362
2024-05-01 23:00:00,918.1904235727441,0.656353591160221,2715
2024-05-02 00:00:00,984.6666666666666,0.715,1200
2024-05-02 01:00:00,1017.0721649484536,0.7491408934707904,873
2024-05-02 02:00:00,1257.4516728624535,0.7193308550185874,538
2024-05-02 03:00:00,1233.7333333333333,0.6277777777777778,360
2024-05-02 04:00:00,1067.3333333333333,0.7394636015325671,261
2024-05-02 05:00:00,1029.117540687161,0.7468354430379747,553
2024-05-02 06:00:00,886.1301482701812,0.6968698517298187,1214
2024-05-02 07:00:00,935.821332375651,0.6446399712695278,5569
2024-05-02 08:00:00,1060.966108857336,0.5676977687626775,11832
2024-05-02 09:00:00,1013.29803875788,0.5783329441979921,8566
2024-05-02 10:00:00,1189.6390507910075,0.5872189841798501,4804
2024-05-02 11:00:00,1184.530339539978,0.5741511500547645,4565
2024-05-02 12:00:00,1120.7518808536772,0.5627207124213113,6513
2024-05-02 13:00:00,1067.768551236749,0.5639254738194668,6226
2024-05-02 14:00:00,1170.6363275039746,0.5981717011128775,5032
2024-05-02 15:00:00,1174.8897810218978,0.6311435523114355,4110
2024-05-02 16:00:00,1101.9363436814049,0.6669802445907808,3189
2024-05-02 17:00:00,1040.7290572928555,0.6735905044510386,4381
2024-05-02 18:00:00,1057.622520598108,0.645712541959109,6554
2024-05-02 19:00:00,1016.8211629479378,0.6450304259634888,5916
2024-05-02 20:00:00,998.2171327901343,0.6602070028628055,4541
2024-05-02 21:00:00,985.3125331917154,0.6638343069569835,3766
2024-05-02 22:00:00,1106.4248221731666,0.6296296296296297,4077
2024-05-02 23:00:00,1038.9943586698337,0.6089667458432304,3368
2024-05-03 00:00:00,992.8533852898198,0.6434486117876279,2053
2024-05-03 01:00:00,1089.8173633440515,0.6199356913183279,1555
2024-05-03 02:00:00,1015.6186335403727,0.6236024844720497,805
2024-05-03 03:00:00,1517.9622641509434,0.6079664570230608,477
2024-05-03 04:00:00,1179.3835616438357,0.6821917808219178,365
2024-05-03 05:00:00,1064.2768532526475,0.6853252647503782,661
2024-05-03 06:00:00,959.9009083402148,0.6672171758876961,1211
2024-05-03 07:00:00,980.6545214272229,0.6632055880687181,5297
2024-05-03 08:00:00,1044.8566433566434,0.5818370818370818,10582
2024-05-03 09:00:00,1078.8082715754244,0.5918001434377241,8366
2024-05-03 10:00:00,1248.8594865856012,0.6049025284694074,5181
2024-05-03 11:00:00,1262.8243347473967,0.5823370613189356,5186
2024-05-03 12:00:00,1151.8358431691765,0.5683082349749017,7371
2024-05-03 13:00:00,2119.5149352365847,0.5905366111551679,7566
2024-05-03 14:00:00,1223.2120822622107,0.596401028277635,3112
2024-05-03 15:00:00,1275.3665917602996,0.6199250936329588,6675
2024-05-03 16:00:00,1206.6137767220903,0.6137767220902612,8420
2024-05-03 17:00:00,1186.8075814111262,0.591078697421981,11792
2024-05-03 18:00:00,1155.963913449788,0.5446049888577384,13911
2024-05-03 19:00:00,1128.4493719956583,0.558226081563033,12898
2024-05-03 20:00:00,1078.0245746691871,0.5879017013232514,9522
2024-05-03 21:00:00,1113.5290459578341,0.6346124677688457,6593
2024-05-03 22:00:00,1078.4506207152122,0.6511024643320363,5397
2024-05-03 23:00:00,1102.9618490109003,0.6370609608397255,4954
2024-05-04 00:00:00,1047.5533540224396,0.6354738601098114,4189
2024-05-04 01:00:00,1085.8006230529595,0.6336448598130842,3210
2024-05-04 02:00:00,1149.4496904024768,0.5948142414860681,2584
2024-05-04 03:00:00,1164.39913097455,0.6530105524518932,1611
2024-05-04 04:00:00,1211.193388429752,0.5958677685950413,1210
2024-05-04 05:00:00,956.4370208105148,0.6484118291347207,913
2024-05-04 06:00:00,1102.0521436848203,0.6929316338354577,863
2024-05-04 07:00:00,947.2876470588235,0.6652941176470588,1700
2024-05-04 08:00:00,860.5228539576366,0.6250464511334076,2691
2024-05-04 09:00:00,931.0973597359736,0.5992849284928493,3636
2024-05-04 10:00:00,1029.073038397329,0.5703255425709516,4792
2024-05-04 11:00:00,1066.446327683616,0.5587570621468927,5310
2024-05-04 12:00:00,1088.8936263736264,0.5684981684981685,6825
2024-05-04 13:00:00,1069.0878400524418,0.5804654211733857,6102
2024-05-04 14:00:00,1156.5270119521913,0.5899601593625498,6275
2024-05-04 15:00:00,1221.0238958249429,0.5846422338568935,7449
2024-05-04 16:00:00,1192.8401283727565,0.5870676334244621,8413
2024-05-04 17:00:00,1206.394908030507,0.5827725437415882,8916
2024-05-04 18:00:00,1160.727472988566,0.5900555963495228,9533
2024-05-04 19:00:00,1157.0893043659912,0.6130144140380196,9574
2024-05-04 20:00:00,1133.555713180294,0.6309001805519732,7754
2024-05-04 21:00:00,1107.0595479082322,0.6654858299595142,5928
2024-05-04 22:00:00,1163.054132231405,0.6729338842975207,4840
2024-05-04 23:00:00,1129.7641666666666,0.6339583333333333,4800
2024-05-05 00:00:00,1195.7398843930637,0.6362827923521566,4498
2024-05-05 01:00:00,1236.5387788778878,0.6608910891089109,3636
2024-05-05 02:00:00,1215.634799867681,0.6308303010254714,3023
2024-05-05 03:00:00,1123.207896051974,0.6201899050474763,2001
2024-05-05 04:00:00,1142.2819074333802,0.5960729312762973,1426
2024-05-05 05:00:00,1049.936775553214,0.6459430979978925,949
2024-05-05 06:00:00,832.1566757493188,0.6743869209809265,734
2024-05-05 07:00:00,874.0443349753695,0.6502463054187192,812
2024-05-05 08:00:00,884.7395029991432,0.6203941730934018,1167
